-135.95865627 53.92885788 48.32
-135.95745585 53.92885788 48.32
-135.95625544 53.92885788 38.76
-135.95505502 53.92885788 33.99
-135.95385460 53.92885788 33.99
-135.95265418 53.92885788 38.76
-135.95145376 53.92885788 38.76
-135.95025334 53.92885788 38.76
-135.94905292 53.92885788 38.76
-135.94785250 53.92885788 38.76
-135.94665208 53.92885788 36.36
-135.94545166 53.92885788 33.99
-135.94425125 53.92885788 33.99
-135.94305083 53.92885788 53.09
-135.94185041 53.92885788 53.09
-135.94064999 53.92885788 49.51
-135.93944957 53.92885788 45.92
-135.93824915 53.92885788 45.92
-135.93704873 53.92885788 57.87
-135.93584831 53.92885788 57.87
-135.93464789 53.92885788 57.87
-135.93344747 53.92885788 67.42
-135.93224706 53.92885788 67.42
-135.93104664 53.92885788 62.65
-135.92984622 53.92885788 57.87
-135.92864580 53.92885788 57.87
-135.92744538 53.92885788 41.14
-135.92624496 53.92885788 41.14
-135.92504454 53.92885788 42.35
-135.92384412 53.92885788 43.54
-135.92264370 53.92885788 43.54
-135.92144328 53.92885788 48.32
-135.92024287 53.92885788 48.32
-135.91904245 53.92885788 48.32
-135.91784203 53.92885788 33.99
-135.91664161 53.92885788 33.99
-135.91544119 53.92885788 36.36
-135.91424077 53.92885788 38.76
-135.91304035 53.92885788 38.76
-135.91183993 53.92885788 55.49
-135.91063951 53.92885788 55.49
-135.90943909 53.92885788 49.51
-135.90823868 53.92885788 43.54
-135.90703826 53.92885788 43.54
-135.90583784 53.92885788 48.32
-135.90463742 53.92885788 48.32
-135.90343700 53.92885788 48.32
-135.90223658 53.92885788 57.87
-135.90103616 53.92885788 57.87
-135.89983574 53.92885788 57.87
